"","country","gender","lfs","confidence","fb","fbpop_19","pop","unemp_17","unemp_uk","inflow","outflow","gdp","gdp_uk","rate","alg","mean_pop","mean_i","mean_o","pop_r","inflow_r","outflow_r","gdp_r","unemp_r"
"23","Latvia","Female",52000,11000,38000,5e+05,888162,9.02291666666666,5.1975,1600,-300,3.8,1.9,0.437039639164927,0.208754208754209,9412938.85,3315,-1625,0.0943554413933115,0.482654600301659,-0.184615384615385,2,1.73601090267757
"24","Latvia","Male",44000,10000,48000,4e+05,725906,10.29375,5.44318181818182,1000,-700,3.8,1.9,0.448964466473621,0.422382671480144,8833506.3,5050,-2245,0.0821764286283466,0.198019801980198,-0.311804008908686,2,1.89112734864301
"25","Lithuania","Female",107000,15000,84000,890000,1296951,7.30555555555556,5.1975,0,0,4.2,1.9,0.313775154188555,0.286219081272085,9412938.85,3315,-1625,0.137783854826593,0,0,2.21052631578947,1.40559029447918
"26","Lithuania","Male",77000,13000,1e+05,760000,1074794,9.21666666666667,5.44318181818182,0,-100,4.2,1.9,0.292887753374135,0.45275888133031,8833506.3,5050,-2245,0.121672409969301,0,-0.044543429844098,2.21052631578947,1.69324982602644
"27","Netherlands","Female",42000,10000,21000,5100000,7362774,5.48409090909091,5.1975,300,0,2.9,1.9,0.307326287619313,0.468992248062015,9412938.85,3315,-1625,0.782197156204834,0.0904977375565611,0,1.52631578947368,1.05514014604924
"28","Netherlands","Male",31000,8000,21000,4700000,7176260,4.82045454545455,5.44318181818182,0,0,2.9,1.9,0.345062748562622,0.512802275960171,8833506.3,5050,-2245,0.812390884919616,0,0,1.52631578947368,0.885594989561587
"29","Poland","Female",466000,32000,350000,8800000,16749631,7.0425,5.1975,8500,-11400,4.9,1.9,0.47461529152493,0.456500678163147,9412938.85,3315,-1625,1.77942630531378,2.56410256410256,-7.01538461538462,2.57894736842105,1.35497835497836
"30","Poland","Male",423000,31000,390000,8100000,15377628,6.77,5.44318181818182,15500,-12200,4.9,1.9,0.473260765574509,0.50093235469153,8833506.3,5050,-2245,1.74082945975824,3.06930693069307,-5.43429844097996,2.57894736842105,1.24375782881002
"31","Portugal","Female",66000,12000,77000,3200000,4729827,12.8608333333333,5.1975,2600,-2300,3.5,1.9,0.323442485317116,0.232613908872902,9412938.85,3315,-1625,0.502481432778032,0.784313725490196,-1.41538461538462,1.84210526315789,2.47442680776014
"32","Portugal","Male",66000,12000,74000,3100000,4142550,11.81,5.44318181818182,6700,-1300,3.5,1.9,0.251668658193625,0.505551700208189,8833506.3,5050,-2245,0.468958741785241,1.32673267326733,-0.579064587973274,1.84210526315789,2.16968684759917
"33","Romania","Female",185000,20000,340000,5100000,8445148,8.00277777777778,5.1975,10100,-4600,7.1,1.9,0.396102945738784,0.325905446502627,9412938.85,3315,-1625,0.897185048641849,3.04675716440422,-2.83076923076923,3.73684210526316,1.53973598418043
"34","Romania","Male",225000,22000,230000,5200000,7931744,8.41944444444444,5.44318181818182,38400,-9400,7.1,1.9,0.34440647605369,0.374053097345133,8833506.3,5050,-2245,0.897915700812938,7.6039603960396,-4.18708240534521,3.73684210526316,1.54678728833217
"35","Slovakia","Female",48000,10000,35000,1400000,2372037,12.495,5.1975,2600,-500,3,1.9,0.409789982196736,0.464028776978417,9412938.85,3315,-1625,0.251997493853899,0.784313725490196,-0.307692307692308,1.57894736842105,2.4040404040404
"36","Slovakia","Male",36000,9000,42000,1200000,2220610,11.52,5.44318181818182,2800,0,3,1.9,0.459607945564507,0.545882352941177,8833506.3,5050,-2245,0.251384888920043,0.554455445544555,0,1.57894736842105,2.11640918580376
"37","Spain","Female",79000,13000,74000,1.3e+07,20557702,21.5113636363636,5.1975,3600,-600,2.9,1.9,0.367633600292484,0.481481481481481,9412938.85,3315,-1625,2.18398337943096,1.08597285067873,-0.369230769230769,1.52631578947368,4.13879050242687
"38","Spain","Male",76000,13000,83000,1.1e+07,19443546,19.1909090909091,5.44318181818182,2300,-600,2.9,1.9,0.434259573845224,0.535749265426053,8833506.3,5050,-2245,2.20111305065804,0.455445544554455,-0.267260579064588,1.52631578947368,3.52567849686848
"39","Sweden","Female",23000,7000,12000,3100000,4205237,7.61515151515152,5.1975,0,-100,2.4,1.9,0.26282395023158,0.385281385281385,9412938.85,3315,-1625,0.446750697843958,0,-0.0615384615384615,1.26315789473684,1.46515661667177
"40","Sweden","Male",12000,5000,18000,3100000,4204852,8.43409090909091,5.44318181818182,0,0,2.4,1.9,0.262756453734876,0.510443864229765,8833506.3,5050,-2245,0.476011660284886,0,0,1.26315789473684,1.54947807933194
